,Locations,former_cases,cases,Population,I_0,R_0,E_0,S_0,Rt,beta,UG1,UG2,UG3,UG4,UG5
0,Alabama,186437,206567,4903185,0.004105495,0.038023652,0.012316484,0.945554369,1.269367101,0.195287246,2,3,5,5,1
1,Alaska,14699,20715,731545,0.008223691,0.020093091,0.024671073,0.947012146,1.273250019,0.195884618,4,2,4,3,1
2,Arizona,240158,263445,7278717,0.003199328,0.032994551,0.009597983,0.954208139,1.086398025,0.167138158,42,24,23,21,10
3,Arkansas,107679,124235,3017825,0.00548607,0.035680995,0.016458211,0.942374724,0.57118281,0.087874279,3,4,3,6,0
4,California,918627,994341,39512223,0.001916217,0.023249185,0.005748651,0.969085946,1.443352918,0.222054295,534,622,674,682,317
5,Colorado,99111,139246,5758736,0.006969411,0.017210548,0.020908234,0.954911807,1.224450708,0.188377032,17,40,33,42,17
6,Connecticut,68637,82987,3565287,0.004024921,0.019251466,0.012074764,0.964648849,0.117976681,0.018150259,13,14,16,18,5
7,Delaware,24249,27112,973764,0.002940137,0.024902338,0.008820412,0.963337112,1.800536725,0.27700565,3,3,2,1,2
8,District of Columbia,16906,18173,705749,0.001795256,0.023954692,0.005385767,0.968864285,0.100390668,0.015444718,4,9,3,13,2
9,Florida,786303,852166,21477737,0.003066571,0.036610142,0.009199712,0.951123575,2.154664246,0.331486807,46,45,58,31,10
10,Georgia,365498,396498,10617423,0.002919729,0.034424361,0.008759188,0.953896722,1.636269844,0.251733822,30,27,20,28,8
11,Guam,5387,6623,165768,0.007456204,0.032497225,0.022368612,0.93767796,1.33846966,0.205918409,2,0,2,0,1
12,Hawaii,14920,16193,1415872,0.000899093,0.010537676,0.002697278,0.985865954,1.813724381,0.27903452,10,9,6,11,2
13,Idaho,61282,76010,1792065,0.008218452,0.034196304,0.024655356,0.932929888,0.797474052,0.122688316,2,3,3,4,4
14,Illinois,389088,512688,12671821,0.009753926,0.030704979,0.029261777,0.930279318,1.033618455,0.159018224,46,46,47,42,18
15,Indiana,168996,221894,6732219,0.007857439,0.02510257,0.023572317,0.943467674,0.791369269,0.121749118,10,16,11,8,4
16,Iowa,118852,163827,3155070,0.014254834,0.037670163,0.042764503,0.9053105,1.686353661,0.259439025,6,2,4,4,1
17,Kansas,80761,105760,2913314,0.008580949,0.027721351,0.025742848,0.937954851,1.15864579,0.178253198,6,4,6,0,0
18,Kentucky,101700,127472,4467673,0.005768551,0.022763528,0.017305653,0.954162267,1.333472738,0.205149652,5,4,6,1,0
19,Louisiana,184724,194702,4648794,0.002146363,0.039735897,0.006439089,0.95167865,1.290478626,0.198535173,1,2,8,3,4
20,Maine,6311,8060,1344212,0.001301134,0.004694944,0.003903402,0.99010052,0.761327345,0.117127284,1,2,5,1,1
21,Maryland,142237,157149,6045680,0.002466555,0.023527047,0.007399664,0.966606734,0.1,0.015384615,20,24,18,21,9
22,Massachusetts,153037,174881,6949503,0.003143246,0.022021287,0.009429739,0.965405728,0.100000001,0.015384616,23,24,20,20,7
23,Michigan,182284,245005,9986857,0.006280354,0.018252389,0.018841063,0.956626194,0.969523004,0.149157385,15,16,16,11,5
24,Minnesota,137589,189735,5639632,0.009246348,0.024396805,0.027739044,0.938617803,1.014979342,0.156150668,10,22,16,23,4
25,Mississippi,116617,128138,2976149,0.00387111,0.039183858,0.01161333,0.945331702,1.432121284,0.220326351,3,0,1,3,1
26,Missouri,179453,226225,6137428,0.007620782,0.029239121,0.022862346,0.940277752,1.878135647,0.288943946,5,9,10,7,1
27,Montana,29422,41219,1068778,0.011037839,0.027528636,0.033113518,0.928320007,0.927649139,0.142715252,2,3,2,3,3
28,Nebraska,65376,87733,1934408,0.011557541,0.033796386,0.034672623,0.919973449,2.100052882,0.323085059,1,5,4,1,1
29,Nevada,97138,112602,3080156,0.005020525,0.031536714,0.015061575,0.948381186,0.624273881,0.096042136,6,7,16,16,9
30,New Hampshire,10530,12919,1359711,0.001756991,0.007744293,0.005270973,0.985227743,1.208298653,0.185892101,2,3,1,3,0
31,New Jersey,233120,262230,8882190,0.003277345,0.026245779,0.009832035,0.960644841,1.313626108,0.202096324,33,27,35,20,7
